Label,Group,Group2,Timepoint,Cage ,Cage.Treat,Pheno.Treat,Cage.Pheno,Length 1,Length 2,Length 3,Length 4,Length 5,Length 6,Length 7,Length 8,Length 9,Length 10,Length 11,Length 12,Mean.TL,SE.TL
T1B6,1-bb,1-B6-bb,1,B6,b,b,bb,1367.11,1297.01,1324.3,1279.03,1309.31,1364.28,1300.5,1221.16,1268.09,1311.84,1374.96,1354.04,1314.3025,13.2632244
T1A1,1-aa,1-A1-aa,1,A1,a,a,aa,1197.38,1175.88,1151.47,1195.57,1162.4,1232.57,1277.9,1240.23,1311.03,1217.08,1229.71,1279.16,1222.531667,14.24916727
T1A2,1-aa,1-A2-aa,1,A2,a,a,aa,1129.43,1207.85,1174.1,1232.19,1269.31,1197.59,1251.26,1276.78,1188.23,1202,1153.76,1229.69,1209.349167,12.9668801
T1A3,1-aa,1-A3-aa,1,A3,a,a,aa,1176.75,1212.15,1115.06,1141.81,1236.6,1206.57,1330.99,1233.93,1344.17,1175.28,1311.85,1225.78,1225.911667,20.87036814
T1A4,1-aa,1-A4-aa,1,A4,a,a,aa,1249.96,1094.27,1191.38,1149.42,1155.01,1170.62,1253.23,1087.44,1141.15,1264.79,1150.79,1279.15,1182.2675,18.92410296
T1A5,1-aa,1-A5-aa,1,A5,a,a,aa,1121.62,1149.5,1174.87,1166.43,1293.39,1206.01,1191.03,1198.75,1267.92,1184.6,1168.78,1117.49,1186.699167,15.02571046
T1A6,1-aa,1-A6-aa,1,A6,a,a,aa,1300.43,1120.2,1266.11,1233.43,1241.35,1278.07,1101.33,1172.79,1282.37,1156.73,1185.37,1287.93,1218.8425,19.95555217
T2A1a,2-aa,2-A1-aa,2,A1,a,a,aa,1186.79,1299.51,1101.71,1193.5,1184.16,1128.51,1118.97,1153.88,1149.57,1181.42,1014.15,1115.73,1152.325,19.67342241
T2A2a,2-aa,2-A2-aa,2,A2,a,a,aa,1263.53,1278.83,1146.82,1186.86,1198.97,1074.86,1167.87,1298.56,1109.49,1178.61,1245.86,1242.09,1199.3625,19.88183194
T2A3a,2-aa,2-A3-aa,2,A3,a,a,aa,1114.46,1253.02,1191.52,1268.82,1072.49,1305.57,1239.26,1207.78,1159.81,1097.39,1188.7,1169.33,1189.0125,20.54295224
T2A4a,2-aa,2-A4-aa,2,A4,a,a,aa,1170.17,1199.66,1280.79,1197.86,1163.95,1175.41,1299.74,1246.53,1203.06,1087.92,1230.48,1213.97,1205.795,16.220877
T2A5a,2-aa,2-A5-aa,2,A5,a,a,aa,1174.75,1180.58,1252.49,1181.37,1031.97,1107.15,1176.96,1048.99,1195.57,1082.26,1276.68,1240.04,1162.400833,22.81480605
T2A6a,2-aa,2-A6-aa,2,A6,a,a,aa,1021.14,1151.13,1135.8,1163.72,1166.89,1175.27,1251.54,1184.99,1216.61,1194.41,1166.05,1205.08,1169.385833,16.20077493
T2A1b,2-ab,2-A1-ab,2,A1,a,b,ab,1323.23,1291.42,1306.62,1254.11,1211.38,1269.5,1323.13,1284.06,1286.63,1276.15,1273.68,1286.72,1282.219167,8.77262637
T2A2b,2-ab,2-A2-ab,2,A2,a,b,ab,1308.29,1304.24,1291.27,1241.83,1270.16,1317.98,1288.8,1308,1353.41,1256.2,1317.16,1290.58,1295.66,8.650649126
T2A3b,2-ab,2-A3-ab,2,A3,a,b,ab,1244.72,1332.33,1230.26,1393.21,1387.31,1228.27,1288.87,1350.02,1284.76,1245.9,1240.59,1238.67,1288.7425,17.83259576
T2A4b,2-ab,2-A4-ab,2,A4,a,b,ab,1332.37,1310.73,1332.4,1229.25,1330.63,1368.18,1377.47,1304.67,1324.15,1259.32,1251.93,1321.17,1311.855833,12.95055887
T2A5b,2-ab,2-A5-ab,2,A5,a,b,ab,1210.07,1247.92,1273.07,1288.33,1257.26,1264.42,1267.46,1321.33,1278.81,1334.51,1300.85,1293.4,1278.119167,9.616352035
T2A6b,2-ab,2-A6-ab,2,A6,a,b,ab,1341.87,1292.47,1294.2,1290.67,1344.13,1438.26,1280.39,1328.88,1341.77,1300.12,1307.92,1267.69,1319.030833,13.11883797
T2B1b,2-bb,2-B1-bb,2,B1,b,b,bb,1281.3,1267.94,1355.3,1298.98,1286.87,1271.04,1304.56,1308.29,1254.54,1249.95,1319.05,1315.54,1292.78,8.741977968
T2B2b,2-bb,2-B2-bb,2,B2,b,b,bb,1203.39,1279.38,1315.69,1368.31,1271.26,1203.29,1299.66,1252.54,,,,,1274.19,16.09985167
T2B3b,2-bb,2-B3-bb,2,B3,b,b,bb,1227.13,1204.13,,,,,,,,,,,1215.63,4.69485534
T2B4b,2-bb,2-B4-bb,2,B4,b,b,bb,1191.75,1226.06,1296.08,1300.8,1328.35,1311.1,1298.14,1345.03,1249.79,1268.31,1244.64,1320.48,1281.710833,13.24444489
T2B5b,2-bb,2-B5-bb,2,B5,b,b,bb,1336.3,1319.29,1313.48,1294.38,1281.14,1379.08,1261.41,1364.9,1285.67,1295.18,1327.07,1302.2,1313.341667,9.940671875
T2B6b,2-bb,2-B6-bb,2,B6,b,b,bb,1291.28,1311.53,1330.27,1337.93,1303.98,1349.45,1372.59,1347.72,1266.75,1277.7,1302.7,1283.8,1314.641667,9.483489707
T2B1a,2-ba,2-B1-ba,2,B1,b,a,ba,1137.87,1192.2,1237.36,1255.76,1210.6,1052.78,1133.86,1027.3,1050.15,1174.07,1156.69,1036.17,1138.734167,23.22700663
T2B2a,2-ba,2-B2-ba,2,B2,b,a,ba,1143.9,1214.3,1346.37,1218.77,1133.12,1201.75,1197.49,1160.36,1268.22,1201.11,1178.2,1118.79,1198.531667,18.02385813
T2B3b,2-ba,2-B3-ba,2,B3,b,a,ba,1247.29,1227.9,1152.28,1195.35,1218.3,1133.1,1240.66,1143.54,1174.12,1193.17,1232.64,1244.51,1200.23833333333,18.02385813
T2B4b,2-ba,2-B4-ba,2,B4,b,a,ba,1194.36,1193.42,1174.21,1193.42,1217.29,1297.54,1211.12,1147.2,1201.89,1223.86,1107.85,1107.52,1189.14,15.00247101
